claim_id,policy_id,claim_date,claim_type,claim_amount_usd,settled_amount_usd,status,description,is_fraud_flag,days_to_report
CLM00050,POL01321,13 Oct 2023,Accident,23151.63,,Pending,Rear end damage in parking lot,No,34.0
CLM00051,POL01149,21/08/2024,Accident,39915.79,,Approved,Rear end damage in parking lot,No,39.0
CLM00052,POL01489,2021-12-03,Vandalism,16371.86,,Rejected,Windshield cracked by debris,No,11.0
CLM00053,POL00617,11/12/2024,Accident,37679.43,,Under Review,,No,
CLM00054,POL01192,19/09/2023,Flood,16492.68,,Pending,Flood damage during heavy rainfall,No,47.0
CLM00055,POL01254,05/01/2024,Flood,70568.7,,Approved,Windshield cracked by debris,No,55.0
CLM00056,POL01940,2021-12-31,Accident,39068.96,,Under Review,Front end collision on highway,No,31.0
CLM00057,POL01098,02 Jan 2022,Fire,5709.57,3483.43,Settled,Vehicle stolen from residential area,No,23.0
CLM00058,POL01335,31 Jul 2024,Accident,63661.75,,Rejected,Front end collision on highway,No,21.0
CLM00059,POL02799,06-23-2020,Natural Disaster,38178.25,,Under Review,Windshield cracked by debris,No,13.0
CLM00060,POL00813,12 Sep 2023,Vandalism,67305.7,,Pending,Hit and run incident,No,44.0
CLM00061,POL00790,2022-05-17,Accident,54875.56,,Under Review,Flood damage during heavy rainfall,Yes,31.0
CLM00062,POL02128,13 Aug 2020,Theft,34243.26,,Approved,Vandalism - scratches and dents,No,30.0
CLM00063,POL00040,2021-05-04,Vandalism,74229.23,,Approved,Rear end damage in parking lot,No,45.0
CLM00064,POL01025,10-26-2023,Natural Disaster,65786.71,,Under Review,Flood damage during heavy rainfall,No,4.0
CLM00065,POL00848,23/05/2021,Accident,62774.34,,Under Review,Flood damage during heavy rainfall,No,47.0
CLM00066,POL02120,25/09/2021,Fire,79649.86,42137.44,Settled,,No,34.0
CLM00067,POL01395,2020-11-02,Accident,40015.2,,Approved,Vandalism - scratches and dents,No,41.0
CLM00068,POL00328,06-30-2021,Accident,9255.1,,Under Review,Vandalism - scratches and dents,No,40.0
CLM00069,POL01748,08/02/2023,Natural Disaster,0.0,,Approved,,No,
CLM00070,POL01921,08/09/2022,Theft,67807.83,,Rejected,Vandalism - scratches and dents,No,39.0
CLM00071,POL01421,2024-12-18,Vandalism,47011.43,,Rejected,Vandalism - scratches and dents,No,27.0
CLM00072,POL01528,2022-06-10,Natural Disaster,2450.7,,Under Review,Rear end damage in parking lot,No,18.0
CLM00073,POL02935,02/11/2023,Vandalism,53608.26,,Approved,Vehicle stolen from residential area,No,54.0
CLM00074,POL00106,2023-09-29,Natural Disaster,41250.97,,Under Review,Rear end damage in parking lot,No,57.0
CLM00075,POL02549,2021-08-25,Vandalism,55125.24,,Approved,Hit and run incident,No,31.0
CLM00076,POL00543,09-12-2024,Flood,0.0,0.0,Settled,Rear end damage in parking lot,No,58.0
CLM00077,POL00067,19 Jan 2022,Theft,74924.52,,Rejected,Front end collision on highway,Yes,6.0
CLM00078,POL02217,2024-06-02,Accident,53704.04,,Approved,Vehicle stolen from residential area,No,8.0
CLM00079,POL02100,04-01-2020,Natural Disaster,29301.0,28676.98,Settled,Fire damage in garage,No,12.0
CLM00080,POL02216,01 Apr 2022,Natural Disaster,8885.74,,Rejected,Hit and run incident,No,16.0
CLM00081,POL02203,2024-11-02,Natural Disaster,49745.12,,Under Review,Rear end damage in parking lot,No,0.0
CLM00082,POL00282,08-06-2021,Natural Disaster,45439.32,,Approved,Windshield cracked by debris,No,13.0
CLM00083,POL00983,2024-05-17,Vandalism,3278.41,,Under Review,Flood damage during heavy rainfall,No,23.0
CLM00084,POL00057,07/10/2022,Flood,37296.66,,Pending,Front end collision on highway,No,
CLM00085,POL01734,10-25-2022,Theft,33175.71,23817.38,Settled,Flood damage during heavy rainfall,No,7.0
CLM00086,POL02167,07 Oct 2021,Vandalism,75979.4,,Pending,Vandalism - scratches and dents,No,25.0
CLM00087,POL02106,02-03-2024,Fire,9523.04,,Pending,Fire damage in garage,No,15.0
CLM00088,POL00453,2024-03-04,Natural Disaster,8351.62,,Pending,Hit and run incident,No,19.0
CLM00089,POL01046,24 May 2020,Flood,21309.59,,Rejected,,No,29.0
CLM00090,POL02616,25 Aug 2023,Natural Disaster,0.0,,Under Review,Rear end damage in parking lot,No,41.0
CLM00091,POL01589,2021-05-18,Theft,28536.77,,Approved,Flood damage during heavy rainfall,No,8.0
CLM00092,POL01789,2022-04-05,Flood,1610.51,1506.57,Settled,Rear end damage in parking lot,No,37.0
CLM00093,POL02840,04-09-2024,Vandalism,8813.67,,Under Review,Fire damage in garage,No,25.0
CLM00094,POL01974,31/08/2022,Vandalism,6607.37,,Rejected,Vandalism - scratches and dents,No,22.0
CLM00095,POL01391,25/03/2024,Theft,49207.22,,Approved,Rear end damage in parking lot,No,51.0
CLM00096,POL01609,04-12-2024,Fire,58875.46,51777.81,Settled,Flood damage during heavy rainfall,No,50.0
CLM00097,POL00154,2020-04-22,Accident,1102.01,,Under Review,Rear end damage in parking lot,No,
CLM00098,POL02184,2024-09-11,Natural Disaster,36599.38,,Pending,Fire damage in garage,No,51.0
CLM00099,POL02636,03-27-2021,Vandalism,63170.2,60938.39,Settled,,No,15.0
CLM00100,POL01160,03/09/2023,Accident,-2948.79,,Under Review,Rear end damage in parking lot,No,48.0
CLM00101,POL02975,12/05/2023,Fire,29649.41,23516.43,Settled,Rear end damage in parking lot,No,53.0
CLM00102,POL02356,23 Nov 2020,Fire,58547.92,,Pending,,No,17.0
CLM00103,POL01975,25/11/2022,Natural Disaster,66635.44,,Pending,Rear end damage in parking lot,No,41.0
CLM00104,POL00195,2024-03-14,Accident,1510.3,,Approved,,No,54.0
CLM00105,POL00226,18/12/2024,Theft,41075.73,,Pending,,No,6.0
CLM00106,POL01461,15 Mar 2023,Fire,43143.71,,Pending,Vandalism - scratches and dents,No,39.0
CLM00107,POL00268,25/06/2024,Theft,35404.18,,Under Review,Front end collision on highway,No,32.0
CLM00108,POL00257,03-01-2020,Accident,58583.9,,Approved,Vehicle stolen from residential area,No,10.0
CLM00109,POL02584,07-13-2022,Fire,49333.33,47778.71,Settled,,No,45.0
CLM00110,POL02418,13/05/2024,Accident,64763.63,,Pending,Hit and run incident,No,41.0
CLM00111,POL01147,29 May 2021,Flood,61743.39,,Under Review,Hit and run incident,No,4.0
CLM00112,POL02758,26 Jun 2020,Fire,7412.77,7318.04,Settled,Flood damage during heavy rainfall,No,1.0
CLM00113,POL02268,2022-09-16,Flood,32624.72,,Under Review,Fire damage in garage,No,19.0
CLM00114,POL02746,2024-11-30,Fire,3857.44,,Rejected,Fire damage in garage,No,14.0
CLM00115,POL01889,02 Oct 2024,Theft,32233.54,28870.4,Settled,Windshield cracked by debris,No,25.0
CLM00116,POL00822,2021-01-19,Natural Disaster,18123.56,16679.06,Settled,Hit and run incident,No,15.0
CLM00117,POL00091,2020-11-20,Vandalism,0.0,,Rejected,Vandalism - scratches and dents,No,11.0
CLM00118,POL00070,22 Nov 2023,Flood,4645.63,,Approved,Fire damage in garage,No,16.0
CLM00119,POL00141,05-01-2021,Natural Disaster,4503.06,3608.53,Settled,Hit and run incident,No,6.0
CLM00120,POL01205,03-15-2021,Flood,21898.63,,Rejected,Windshield cracked by debris,No,51.0
CLM00121,POL00432,06/10/2023,Theft,66490.67,40767.1,Settled,Vandalism - scratches and dents,No,18.0
CLM00122,POL00786,09-25-2022,Flood,78662.97,,Pending,Flood damage during heavy rainfall,No,2.0
CLM00123,POL01904,04/08/2022,Flood,50326.01,,Approved,,No,58.0
CLM00124,POL01689,02-25-2023,Vandalism,14950.08,,Approved,Hit and run incident,No,16.0
CLM00125,POL02204,19/03/2022,Vandalism,75797.36,,Pending,Hit and run incident,No,
CLM00126,POL02767,09-22-2024,Vandalism,18742.69,,Approved,Rear end damage in parking lot,No,47.0
CLM00127,POL02916,2021-08-22,Flood,30000.11,,Rejected,,No,45.0
CLM00128,POL01744,2020-09-15,Vandalism,55352.32,,Approved,Vehicle stolen from residential area,No,28.0
CLM00129,POL02417,08-30-2024,Flood,75108.12,,Pending,,No,13.0
CLM00130,POL02426,2022-04-28,Flood,17860.99,,Rejected,Fire damage in garage,No,29.0
CLM00131,POL00041,17 Jan 2024,Natural Disaster,43808.13,,Under Review,Rear end damage in parking lot,No,42.0
CLM00132,POL01405,30/07/2024,Natural Disaster,33305.17,,Pending,Fire damage in garage,No,53.0
CLM00133,POL02164,20 Oct 2020,Vandalism,6012.44,,Rejected,Flood damage during heavy rainfall,No,26.0
CLM00134,POL00346,05/09/2020,Vandalism,39379.31,37393.76,Settled,Vandalism - scratches and dents,No,52.0
CLM00135,POL02830,16/04/2022,Flood,5344.86,,Rejected,Fire damage in garage,No,15.0
CLM00136,POL02894,2022-09-15,Vandalism,48745.68,,Approved,Vandalism - scratches and dents,No,21.0
CLM00137,POL01491,24/05/2020,Vandalism,49464.58,,Pending,Vandalism - scratches and dents,No,28.0
CLM00138,POL01315,15 Jan 2022,Theft,63720.39,,Rejected,Hit and run incident,No,
CLM00139,POL00200,20 Sep 2024,Vandalism,5350.42,,Rejected,Front end collision on highway,No,46.0
CLM00140,POL02278,2024-08-11,Accident,77855.46,55058.0,Settled,,No,13.0
CLM00141,POL01927,11 Jun 2024,Natural Disaster,75489.98,,Approved,Vehicle stolen from residential area,No,14.0
CLM00142,POL02969,03-14-2023,Fire,13099.43,,Under Review,Front end collision on highway,No,3.0
CLM00143,POL02571,05-27-2020,Flood,73173.97,,Pending,Windshield cracked by debris,No,
CLM00144,POL02827,15/01/2020,Accident,25498.41,,Rejected,Vehicle stolen from residential area,No,55.0
CLM00145,POL02443,2024-05-23,Accident,79231.24,59736.25,Settled,Front end collision on highway,No,26.0
CLM00146,POL01479,16 May 2024,Vandalism,17801.77,,Rejected,Vandalism - scratches and dents,No,9.0
CLM00147,POL01864,2022-10-21,Accident,7324.41,,Rejected,Fire damage in garage,No,10.0
CLM00148,POL02391,2020-02-02,Flood,56979.02,,Under Review,Fire damage in garage,No,36.0
CLM00149,POL00612,2022-05-08,Natural Disaster,74178.92,,Under Review,Rear end damage in parking lot,No,20.0
CLM00150,POL00391,15 Feb 2024,Vandalism,0.0,,Rejected,,No,35.0
CLM00151,POL00460,27 Jun 2022,Vandalism,49221.58,,Rejected,,No,4.0
CLM00152,POL01603,12-25-2022,Accident,50542.64,,Approved,Front end collision on highway,No,21.0
CLM00153,POL00144,02-22-2021,Fire,12434.09,,Rejected,Fire damage in garage,No,41.0
CLM00154,POL01115,18 Sep 2024,Natural Disaster,15566.25,12467.03,Settled,Vandalism - scratches and dents,No,25.0
CLM00155,POL01390,12 Feb 2023,Natural Disaster,21380.71,,Pending,Front end collision on highway,No,29.0
CLM00156,POL00480,10 Feb 2022,Flood,35351.97,,Approved,Front end collision on highway,No,24.0
CLM00157,POL02991,28 Dec 2024,Flood,34503.86,,Under Review,Hit and run incident,No,53.0
CLM00158,POL02577,08 Jul 2023,Fire,76949.81,,Rejected,,Yes,41.0
CLM00159,POL01114,2021-01-24,Theft,0.0,0.0,Settled,Rear end damage in parking lot,No,31.0
CLM00160,POL01618,2024-05-20,Theft,66637.64,61746.94,Settled,Vehicle stolen from residential area,No,17.0
CLM00161,POL00357,2020-06-12,Vandalism,74131.04,,Approved,Vehicle stolen from residential area,No,51.0
CLM00162,POL02386,2024-12-15,Theft,62963.98,,Approved,,No,51.0
CLM00163,POL00550,2023-01-23,Vandalism,0.0,0.0,Settled,Fire damage in garage,No,36.0
CLM00164,POL01375,01 Oct 2023,Theft,16193.6,13711.09,Settled,Rear end damage in parking lot,No,22.0
CLM00165,POL00420,21/03/2022,Vandalism,74571.8,,Under Review,Front end collision on highway,No,32.0
CLM00166,POL00014,12-08-2023,Natural Disaster,60692.23,,Rejected,Hit and run incident,No,52.0
CLM00167,POL02447,28/05/2022,Vandalism,52469.79,,Pending,Flood damage during heavy rainfall,No,44.0
CLM00168,POL01397,29/09/2020,Fire,76310.26,,Under Review,Flood damage during heavy rainfall,No,6.0
CLM00169,POL00532,13 Feb 2021,Flood,75564.47,,Approved,Rear end damage in parking lot,Yes,21.0
CLM00170,POL00041,26/06/2020,Natural Disaster,51190.9,45459.29,Settled,Rear end damage in parking lot,No,14.0
CLM00171,POL02053,2021-01-30,Natural Disaster,74405.99,,Under Review,Windshield cracked by debris,No,39.0
CLM00172,POL01107,02/04/2021,Natural Disaster,5929.43,,Pending,,No,54.0
CLM00173,POL00728,04-26-2022,Accident,37091.78,34458.03,Settled,Rear end damage in parking lot,No,53.0
CLM00174,POL02239,27/02/2021,Accident,45107.05,42757.15,Settled,Windshield cracked by debris,No,4.0
CLM00175,POL01045,2023-08-22,Vandalism,1422.97,,Pending,Front end collision on highway,No,8.0
CLM00176,POL02006,05/05/2022,Accident,63550.93,,Rejected,Flood damage during heavy rainfall,Yes,57.0
CLM00177,POL00523,09 Aug 2023,Fire,13707.56,,Approved,Front end collision on highway,No,55.0
CLM00178,POL00487,11 Jan 2020,Flood,60326.5,,Rejected,Windshield cracked by debris,No,25.0
CLM00179,POL01965,2021-05-14,Natural Disaster,69165.05,,Pending,,No,10.0
CLM00180,POL01448,12/11/2021,Fire,19100.98,13689.94,Settled,Hit and run incident,No,19.0
CLM00181,POL00467,13 Jun 2020,Accident,66370.49,,Rejected,Vehicle stolen from residential area,No,30.0
CLM00182,POL00232,2022-09-24,Accident,35744.14,,Under Review,Vehicle stolen from residential area,No,56.0
CLM00183,POL01752,2024-12-08,Accident,56909.25,,Rejected,Fire damage in garage,No,0.0
CLM00184,POL02799,2023-05-25,Fire,-2968.21,,Rejected,Windshield cracked by debris,No,45.0
CLM00185,POL00187,01-21-2020,Vandalism,54097.54,,Rejected,Flood damage during heavy rainfall,No,59.0
CLM00186,POL02312,06/12/2024,Accident,53066.52,40100.5,Settled,,Yes,28.0
CLM00187,POL00063,14/07/2024,Flood,64700.58,,Pending,Windshield cracked by debris,Yes,11.0
CLM00188,POL01142,2020-04-11,Flood,67589.68,,Pending,Windshield cracked by debris,No,1.0
CLM00189,POL01744,11 Jan 2020,Flood,51341.42,47339.34,Settled,Rear end damage in parking lot,No,14.0
CLM00190,POL02713,04/11/2020,Natural Disaster,43579.6,,Approved,Rear end damage in parking lot,No,
CLM00191,POL01789,2020-04-10,Vandalism,37610.52,,Rejected,Windshield cracked by debris,No,30.0
CLM00192,POL01923,05-18-2020,Vandalism,9914.01,,Approved,Vandalism - scratches and dents,No,31.0
CLM00193,POL02872,02-25-2021,Accident,7055.45,,Under Review,Fire damage in garage,No,3.0
CLM00194,POL02934,08-09-2020,Vandalism,71850.83,,Pending,Fire damage in garage,No,47.0
CLM00195,POL02369,07/09/2022,Fire,67381.04,,Rejected,Hit and run incident,Yes,26.0
CLM00196,POL00890,06 Jul 2021,Flood,71072.16,,Under Review,Vehicle stolen from residential area,No,39.0
CLM00197,POL01024,11-08-2023,Flood,62174.77,,Pending,Fire damage in garage,No,34.0
CLM00198,POL01241,25/01/2020,Vandalism,64413.89,,Pending,Vandalism - scratches and dents,Yes,4.0
CLM00199,POL01584,09 May 2020,Natural Disaster,27889.05,,Under Review,,No,48.0
CLM00200,POL00374,30/08/2022,Fire,56226.71,,Approved,Vehicle stolen from residential area,No,5.0
CLM00201,POL01379,03-17-2024,Vandalism,17818.71,,Pending,Hit and run incident,No,51.0
CLM00202,POL01580,09-16-2024,Fire,0.0,,Rejected,Hit and run incident,No,17.0
CLM00203,POL02449,13 Jun 2022,Fire,61512.78,,Pending,Vandalism - scratches and dents,No,28.0
CLM00204,POL02771,30 Jun 2022,Natural Disaster,74637.69,,Under Review,Rear end damage in parking lot,No,24.0
CLM00205,POL01366,17/09/2020,Flood,75321.49,58205.66,Settled,Rear end damage in parking lot,Yes,
CLM00206,POL01021,23/05/2021,Natural Disaster,54143.38,,Pending,,No,6.0
CLM00207,POL01784,2020-05-05,Natural Disaster,9008.4,,Pending,Vandalism - scratches and dents,Yes,29.0
CLM00208,POL01201,24 Jun 2022,Theft,76630.91,,Pending,Vehicle stolen from residential area,Yes,28.0
CLM00209,POL01528,18 Oct 2024,Theft,73816.85,,Rejected,Hit and run incident,No,56.0
CLM00210,POL02310,28/05/2020,Vandalism,13904.92,,Approved,Hit and run incident,No,1.0
CLM00211,POL01878,04-10-2020,Fire,74033.86,,Pending,Fire damage in garage,No,46.0
CLM00212,POL01346,07-03-2020,Accident,32481.94,,Under Review,Vandalism - scratches and dents,No,34.0
CLM00213,POL02278,29/01/2022,Theft,44151.7,,Pending,Vehicle stolen from residential area,No,48.0
CLM00214,POL00181,20/07/2022,Fire,34572.89,,Rejected,Front end collision on highway,Yes,38.0
CLM00215,POL00063,10-02-2020,Fire,11153.06,,Rejected,Windshield cracked by debris,No,3.0
CLM00216,POL02897,03-21-2020,Vandalism,13260.75,8154.0,Settled,Vehicle stolen from residential area,No,8.0
CLM00217,POL00761,09-23-2022,Theft,57458.72,55646.52,Settled,Vandalism - scratches and dents,No,14.0
CLM00218,POL00791,2021-05-04,Accident,60630.4,,Rejected,Flood damage during heavy rainfall,No,13.0
CLM00219,POL02413,05-16-2023,Fire,63931.39,,Rejected,Vehicle stolen from residential area,No,39.0
CLM00220,POL02710,2024-03-08,Natural Disaster,23018.35,,Approved,Front end collision on highway,No,37.0
CLM00221,POL01634,2022-04-25,Natural Disaster,818.09,,Rejected,,No,39.0
CLM00222,POL01705,2022-11-15,Accident,41686.17,,Rejected,Rear end damage in parking lot,No,3.0
CLM00223,POL02898,09/12/2022,Flood,58492.2,43791.11,Settled,Rear end damage in parking lot,No,5.0
CLM00224,POL01484,2023-02-10,Natural Disaster,32701.45,,Rejected,Windshield cracked by debris,No,13.0
CLM00225,POL02864,07-03-2022,Vandalism,4462.9,,Approved,Front end collision on highway,No,46.0
CLM00226,POL02019,01-09-2023,Vandalism,14181.8,,Approved,Windshield cracked by debris,No,47.0
CLM00227,POL02883,10-06-2023,Fire,76940.25,,Approved,Windshield cracked by debris,No,19.0
CLM00228,POL00565,05-26-2020,Natural Disaster,73373.17,,Rejected,Hit and run incident,No,31.0
CLM00229,POL01410,15 May 2024,Natural Disaster,39076.86,48124.47,Settled,Hit and run incident,No,6.0
CLM00230,POL01987,22 Jul 2024,Accident,74319.13,,Pending,Rear end damage in parking lot,No,12.0
CLM00231,POL00962,22 Jun 2023,Accident,60087.76,,Approved,Front end collision on highway,No,19.0
CLM00232,POL01887,11-08-2024,Theft,66877.12,,Rejected,Rear end damage in parking lot,No,4.0
CLM00233,POL02967,21 Aug 2021,Accident,49526.09,,Pending,Rear end damage in parking lot,No,45.0
CLM00234,POL00850,11-06-2021,Theft,63072.84,,Under Review,Rear end damage in parking lot,No,48.0
CLM00235,POL02582,08-29-2020,Fire,61979.22,,Pending,Rear end damage in parking lot,No,30.0
CLM00236,POL00166,05/02/2023,Theft,39250.73,,Rejected,Flood damage during heavy rainfall,No,34.0
CLM00237,POL01465,06/08/2024,Vandalism,43249.22,39904.67,Settled,Hit and run incident,No,
CLM00238,POL01860,14 Sep 2024,Theft,61549.9,59968.49,Settled,Flood damage during heavy rainfall,Yes,22.0
CLM00239,POL01630,29/11/2020,Natural Disaster,14849.89,,Approved,Vehicle stolen from residential area,No,47.0
CLM00240,POL01587,21/06/2020,Theft,13339.62,12227.47,Settled,Flood damage during heavy rainfall,Yes,46.0
CLM00241,POL00418,18 Oct 2024,Accident,78235.37,63658.11,Settled,Fire damage in garage,No,11.0
CLM00242,POL01493,2020-08-01,Vandalism,38296.19,,Under Review,Front end collision on highway,No,37.0
CLM00243,POL01321,03-18-2024,Accident,36460.38,,Pending,Front end collision on highway,No,0.0
CLM00244,POL02317,2020-12-11,Flood,32373.31,,Approved,Vehicle stolen from residential area,No,4.0
CLM00245,POL00600,07-04-2020,Accident,75819.75,,Approved,Flood damage during heavy rainfall,Yes,2.0
CLM00246,POL02111,17/07/2024,Theft,31678.75,,Approved,Fire damage in garage,No,59.0
CLM00247,POL02897,24 Oct 2022,Theft,38174.06,,Pending,Vandalism - scratches and dents,No,49.0
CLM00248,POL00457,15/11/2020,Accident,56906.57,,Pending,Vehicle stolen from residential area,No,37.0
CLM00249,POL02726,2021-11-01,Vandalism,2572.15,,Under Review,Vandalism - scratches and dents,No,24.0
CLM00250,POL02307,06-22-2022,Fire,0.0,,Approved,Windshield cracked by debris,No,41.0
CLM00251,POL01440,21/02/2022,Vandalism,20432.17,,Approved,Fire damage in garage,No,
CLM00252,POL01591,11 Mar 2021,Flood,75855.32,,Under Review,,No,31.0
CLM00253,POL02432,25 Apr 2024,Flood,53170.65,46682.84,Settled,,Yes,24.0
CLM00254,POL02092,09-17-2024,Flood,51840.16,,Under Review,Hit and run incident,No,35.0
CLM00255,POL02097,03-10-2021,Flood,47590.39,,Rejected,,No,23.0
CLM00256,POL01686,01 Feb 2023,Flood,20167.16,,Rejected,Flood damage during heavy rainfall,No,38.0
CLM00257,POL00309,2021-05-25,Vandalism,47555.18,,Approved,Rear end damage in parking lot,No,49.0
CLM00258,POL01586,18 Apr 2024,Flood,45407.52,,Under Review,Rear end damage in parking lot,No,55.0
CLM00259,POL01420,10 May 2020,Theft,54806.48,,Approved,,No,7.0
CLM00260,POL00820,23/04/2023,Theft,37358.38,,Approved,,No,18.0
CLM00261,POL01379,16 Apr 2023,Natural Disaster,76883.34,,Under Review,Front end collision on highway,No,3.0
CLM00262,POL02099,13/07/2020,Fire,38577.39,,Approved,Rear end damage in parking lot,No,13.0
CLM00263,POL00986,2020-03-26,Flood,36436.57,,Approved,Windshield cracked by debris,No,6.0
CLM00264,POL00732,24/02/2021,Theft,17123.25,,Pending,Hit and run incident,No,39.0
CLM00265,POL01870,16 Nov 2024,Fire,51223.46,,Approved,Flood damage during heavy rainfall,No,29.0
CLM00266,POL02183,2020-04-16,Fire,76619.03,,Approved,Windshield cracked by debris,No,47.0
CLM00267,POL02075,2024-04-25,Fire,73974.2,,Approved,Hit and run incident,No,26.0
CLM00268,POL02433,01-02-2022,Fire,5688.51,,Approved,Hit and run incident,No,31.0
CLM00269,POL02042,17/02/2024,Theft,72429.4,51043.77,Settled,,No,55.0
CLM00270,POL02444,01-23-2021,Fire,56986.96,,Pending,Vehicle stolen from residential area,No,50.0
CLM00271,POL01388,12/10/2022,Fire,67566.94,,Pending,Rear end damage in parking lot,No,22.0
CLM00272,POL00231,06-19-2021,Vandalism,49785.45,,Under Review,Vandalism - scratches and dents,No,38.0
CLM00273,POL02865,2022-07-01,Accident,31394.0,23854.14,Settled,Hit and run incident,No,41.0
CLM00274,POL02138,08-10-2022,Natural Disaster,35098.77,,Under Review,Vehicle stolen from residential area,No,4.0
CLM00275,POL00181,2020-08-11,Fire,29332.76,,Approved,Flood damage during heavy rainfall,No,25.0
